pais, ano, krause, valor, moeda, qualidade, material, diametro, detalhe, anverso, reverso, 
Brasil, 2017, , 5, REAL, B, PAPEL, , EA023408940, EFIGIE DA REPUBLICA, GARCA, 
Brasil, 2017, , 2, REAL, B, PAPEL, 121X65MM, SERIE DZ008013413, EFIGIE DA REPUBLICA, TARTARUGA, 
Brasil, 2017, C , 5, REAL, SOB, PAPEL, 128X65, SERIE ED081524482, EFIGIE DA REPUBLICA, GARCA, 
Brasil, 2019, C , 2, REAL, FE, PAPEL, 121X65, EL058458710, EFIGIE DA REPUBLICA, TARTARUGA, 
Brasil, 1959, C 70, 5, CRUZEIRO, FE, PAPEL, 155X68MM, SERIE 2104 031306 2 ESTAMPA, BARAO RIO BRANCO, CONQUISTA DO AMAZONAS, 15
Brasil, 1973, C 134, 5, CRUZEIRO, FE, PAPEL, 152X68, SERIE B00958 055112, D PEDRO I, , 20
Brasil, 1989, C 199, 1, CRUZADO NOVO, MBC, PAPEL, 153X74, B1716085627A, MACHADO DE ASSIS, RJ RUA 1 DE MARCO, 2
Bulgaria, 1974, 93, 1, LEVA, FE, PAPEL, 105X64, SERIE 6247641, , , 
Bulgaria, 2005, 114, 2, LEVA, , PAPEL, 117X64, 9448492, , , 
Burma, 1972, 1, 1, KYAT, FE, PAPEL, 126X60MM, SERIE KA 6028911, , , 
Burma, 1973, , 5, KYAT, FE, PAPEL, 130X70, SERIE IZ7006490, , , 
Burundi, 2007, , 10, FRANCO, FE, PAPEL, 115X62MM, CK775726, , , 
Butao, 2006, , 1, NGULTRUM, FE, PAPEL, 114X62, SERIE A5 0364719, DRAGOES, , 
Camboja, 1972, 8, 100, RYEL, FE, PAPEL, 174X78, SERIE 722179, , , 
Camboja, 1972, 4, 1, RYEL, FE, PAPEL, 128X64, SERIE 587907, , , 
Camboja, 1975, 16, 500, RIEL, , PAPEL, 183X86, 429806 OTIMO ESTADO, , , 
Camboja, 2001, 52, 100, RIEL, , PAPEL, 130X60, 1087235, TEMPLO, CIDADE, 
Camboja, 2002, , 50, RIEL, FE, PAPEL, 130X60MM, NU1540591, , , 
